station_id,nimi,kapasiteetti,pituusaste,leveysaste
11,Unioninkatu,22,24.9510226994024,60.1674572921424
16,Liisanpuistikko,16,24.9613746997628,60.1741821916183
113,Pasilan asema,40,24.932799079033,60.1982108580315
115,Venttiilikuja,16,24.9415225602343,60.1941915204257
116,Linnanmäki,32,24.9401592995968,60.1911410923558
120,Mäkelänkatu,28,24.9633904702172,60.1896359907606
121,Vilhonvuorenkatu,16,24.967854123638,60.1864553029206
122,Lintulahdenkatu,24,24.962063375375,60.1836809119419
123,Näkinsilta,24,24.9554449266327,60.179750209022
126,Kalasatama (M),24,24.977153892421,60.1875308427268
131,Elimäenkatu,24,24.9476290451587,60.1962195625714
134,Haukilahdenkatu,26,24.9676238234156,60.1985338962222
135,Velodrominrinne,12,24.9441912064593,60.2010022969661
140,Verkatehtaanpuisto,14,24.9797491905267,60.2136895158892
161,Eteläesplanadi,34,24.9471504600595,60.1671998456303
202,Merihaka,16,24.9585285446676,60.1780749105533
254,Agnetankuja,16,25.0365006704009,60.1872113457581
255,Laivalahden puistotie,16,25.0313242435422,60.1879616899796
258,Abraham Wetterin tie,16,25.0426533906378,60.1927661994999
259,Petter Wetterin tie,20,25.0310806077186,60.1931499986426
260,Herttoniemi (M),24,25.0289074357313,60.1946246004701
344,Puistolan asema,16,25.0343501212405,60.2751896029642
347,Sateenkaarentie,18,25.0110629825049,60.2807560752423
581,Niittykumpu (M),35,24.763184,60.170758
